date,area,number
200001,40757,2796
200002,168210,5671
200003,340899,10312
200004,182713,9236
200005,294493,11850
200006,606869,9135
200007,1854991,11293
200008,2513602,11217
200009,850027,8648
200010,195645,7651
200011,261681,3285
200012,83606,1156
200101,44334,1231
200102,118872,6561
200103,103341,6620
200104,202015,995
200105,258014,18469
200106,367544,6961
200107,387894,8254
200108,1358486,7579
200109,380891,6397
200110,33868,6223
200111,99879,10223
200112,215773,4566
200201,10079,1383
200202,55487,4649
200203,135186,8686
200204,177888,7365
200205,736493,8734
200206,1702508,13942
200207,1098578,7348
200208,2385947,9983
200209,276819,5175
200210,128571,2009
200211,410256,2068
200212,66900,2115
200301,18818,1964
200302,30877,2030
200303,44285,3401
200304,225841,7066
200305,86116,7081
200306,361081,5744
200307,970327,7129
200308,919302,10145
200309,510642,4620
200310,170015,6353
200311,478648,2104
200312,144890,5992
200401,15386,1740
200402,39787,2847
200403,95457,9071
200404,219470,10735
200405,161170,7675
200406,1142287,6554
200407,3439347,6628
200408,2022996,9575
200409,601572,6109
200410,304809,1918
200411,21660,1368
200412,33939,1241
200501,9735,1674
200502,18414,2518
200503,102648,5061
200504,136097,9010
200505,107511,6795
200506,1331249,4684
200507,2612903,7464
200508,3078418,8276
200509,763713,7693
200510,95393,3414
200511,177519,4089
200512,255789,6075
200601,330447,3507
200602,80564,2429
200603,1438355,15006
200604,391421,13747
200605,315375,7156
200606,1196351,15403
200607,1412483,12408
200608,2434567,9292
200609,1474795,4804
200610,326551,2639
200611,107342,3401
200612,365494,6593
200701,4597,387
200702,30754,3791
200703,226060,12086
200704,214020,7808
200705,859241,12642
200706,502835,9654
200707,2785585,10268
200708,2285357,7741
200709,1317554,8567
200710,469496,3787
200711,205386,2398
200712,427160,6576
200801,40804,1380
200802,214183,4449
200803,261256,5259
200804,758290,8242
200805,226503,7790
200806,672117,9536
200807,1303710,17352
200808,1185528,10213
200809,71959,3728
200810,299720,5403
200811,97019,2437
200812,161379,3190
200901,57150,2481
200902,120447,5495
200903,363647,13755
200904,518535,9206
200905,350997,10848
200906,493268,6614
200907,1353884,6257
200908,1980255,10026
200909,378523,5535
200910,91444,2989
200911,127651,3838
200912,85985,1748
201001,19052,1081
201002,15491,1221
201003,106074,6233
201004,182831,11686
201005,350774,5563
201006,812459,4027
201007,491856,7015
201008,627443,6718
201009,366260,13598
201010,210259,4594
201011,122728,4277
201012,117497,5958
201101,17352,1526
201102,187021,8226
201103,385043,7316
201104,1791469,6164
201105,1069997,6625
201106,1345060,6567
201107,1295630,9208
201108,864470,8238
201109,765417,6552
201110,507724,3399
201111,270518,2808
201112,211666,7497
201201,62909,1758
201202,29737,3239
201203,89771,5354
201204,191062,7506
201205,337182,4435
201206,1363293,5415
201207,2014395,9869
201208,3636606,6948
201209,1077766,3734
201210,200860,3553
201211,152697,3694
201212,65361,11760
201301,8573,964
201302,12432,1340
201303,72120,4615
201304,48419,4754
201305,106243,6331
201306,1252719,4046
201307,866765,6149
201308,1481109,7088
201309,215263,3572
201310,19514,3323
201311,86092,2376
201312,137927,2057
201401,38078,2584
201402,31686,2983
201403,97922,6024
201404,152713,7783
201405,400822,2458
201406,172860,4463
201407,819242,8072
201408,1039766,4280
201409,306663,2558
201410,202883,1946
201411,191688,8108
201412,133238,12086
201501,22592,1500
201502,68989,4251
201503,59677,3118
201504,167691,6707
201505,78187,6072
201506,1868614,6430
201507,3461087,8186
201508,2475720,7555
201509,881230,6153
201510,323784,3826
201511,404910,2097
201512,312668,6027
201601,3131,439
201602,123490,2455
201603,649511,6324
201604,687131,6267
201605,134720,4942
201606,526926,5230
201607,1353260,8195
201608,1116726,6507
201609,285893,4762
201610,126963,6555
201611,275616,8560
201612,163153,5339
201701,54961,2459
201702,167766,5353
201703,957427,6717
201704,817985,5953
201705,234986,4182
201706,600373,5336
201707,2657380,9000
201708,1648583,7493
201709,1325423,3033
201710,366641,3408
201711,354376,3252
201712,595161,9945
201801,71189,3257
201802,67289,3200
201803,392010,6297
201804,446198,4938
201805,707411,6197
201806,812501,5112
201807,2313597,8717
201808,2129088,7861
201809,841953,3720
201810,466374,1791
201811,236457,1421
201812,98542,3400
201901,13095,1139
201902,27604,1018
201903,130508,4934
201904,40716,3534
201905,120868,5338
201906,1331968,5657
201907,1570697,5571
201908,1001587,8765
201909,195898,6627
201910,134013,2314
201911,49700,2320
201912,13353,2569
202001,16791,1136
202002,26428,1375
202003,68802,3374
202004,108802,5999
202005,164889,6233
202006,1035963,5939
202007,630571,7576
202008,1928563,8197
202009,3544031,4332
202010,1020326,3033
202011,994388,5740
202012,735125,5324
202101,27358,1600
202102,32706,1386
202103,264495,7532
202104,132579,7075
202105,223298,7242
202106,792074,5791
202107,1510450,7024
202108,1904506,5239
202109,1019822,3202
202110,616701,2275
202111,278740,5984
202112,336984,4383
202201,25691,1302
202202,124083,5785
202203,368065,7694
202204,602491,7543
202205,799903,5722
202206,2002408,5880
202207,1790284,5300
202208,424307,8985
202209,748032,5394
202210,326208,5942
202211,132467,4580